country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Madagascar,43.8,40.9,38.1,30.6,39.5,34.8,8.75,33.2,13.3,22.4,31,45.6,55.9,59.6,76.5,92.1,96.4,152,162,148,125,157,135,118,145,144,108,119,120,130,124,93.6,105,92.3,89.3,71.1,28.1,31.4,26.6,33.2,31.5,29.1,30.8,28.2,27.7,31.6,30.6
Malawi,47.7,42.1,43.8,48.3,43,43.4,47.5,59,65.2,67.6,73,71.1,77.9,77.4,76.4,94.7,103,121,102,91.5,84.8,77.2,97.1,90,178,166,103,84.9,143,159,159,154,84.1,98.2,100,88.4,22,19.7,18.8,18.7,14.9,15.4,22.6,29.1,28.1,27.9,34.7
Malaysia,13.2,17,19.1,13.8,14.1,23.4,25.5,27.1,26.7,24.5,28,38,52.2,61.7,59.2,70,84.5,75.6,55.7,44.4,36.4,36.6,35.7,41.1,42.8,40.6,41.3,49.9,62.1,57,48.7,52.5,51.3,48.7,51.1,47.3,44.3,44.4,47.7,60.3,54.2,49.8,64,60.4,60.2,66.3,69.6
Maldives,,,,,,,,,,,,,,,,72.8,57.1,61.4,45.1,38.9,40.2,38.1,38.1,40.6,39.4,40.9,39.3,35.6,37.8,39.3,34.2,27.6,30.9,29.1,29.1,33.3,38.6,52.7,62.8,73,45.6,40.9,39.6,37,38.7,31.1,35.5
Mali,69.8,63.2,55.3,53.6,65.4,43.4,40.1,44.9,45.7,35.9,41.8,55.2,67,78,102,107,95.4,99,94.3,97.5,92.6,95.5,103,103,131,111,110,119,112,94.8,102,87.2,76.5,67.7,62.5,52.9,24.1,23.3,21.6,22.2,23.9,23.3,25.6,27.8,25.4,29.9,27.9
Mauritania,13.3,18.3,22.5,32.5,41,42.2,87.4,105,132,117,123,138,161,176,192,231,238,244,232,214,220,160,151,184,182,179,167,176,171,177,183,182,165,145,123,103,53.9,52.2,50.6,61.5,62.8,56,65.6,63.4,67.1,81,84.8
Mauritius,,,,,,,9.11,12.3,18.8,25.5,37.7,45.8,53,48.6,51,55.8,44.8,42.5,39.3,37.4,35.4,34.6,29.2,27.6,31.1,35.2,32,32.1,30.9,30.3,21.2,19.1,19.5,18,14.9,12.8,9.49,8.56,6.62,24.9,27,82.5,86.4,110,122,126,148
Mexico,20.3,19.8,18.8,19.6,19.9,21.3,27.8,39.4,36.1,32.9,30.6,32.7,53.4,66.7,57.4,55.3,82.9,82.2,56.5,43.8,41.2,37.3,31.8,26.8,27.2,50.4,41.1,31.8,32.8,29.6,22.8,23.4,21.6,22.6,21.8,20.1,18.1,18.7,17.8,21.4,23.2,24.9,29.5,32.7,34.3,37.3,40.7
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,40.3,48.4,54.7,64,99.3,141,114,111,95.6,72,66.3,68.8,69.9,56,64.7,75,68.7,71.4,74.1,74.6,91,92
Mongolia,,,,,,,,,,,,,,,,,,,,,,,27.5,52.3,51.2,37.2,40.1,51.9,64.6,92.8,84.8,74.7,79.2,97.5,80.4,56.5,44.3,42.1,40.1,68,89.9,101,136,159,185,200,232
